MMSI,NAVSTATUS,ROT,SOG,POSACCURACY,LON,LAT,COG,HEADING,REPORTTIME,IMO,CALLSIGN,NAME,SHIPTYPE,LENGTH,BREADTH,BOW,STERN,PORT,STARBOARD,FIXINGDEVICE,ETA,DEPTH,DESTINATION,MMSI,NAVSTATUS,ROT,SOG,POSACCURACY,LON,LAT,COG,HEADING,REPORTTIME,IMO,CALLSIGN,NAME,SHIPTYPE,LENGTH,BREADTH,BOW,STERN,PORT,STARBOARD,FIXINGDEVICE,ETA,DEPTH,DESTINATION
211843000,5,-128,0.1,0,-5.365407,36.14615,186,219,07-MAY-07 11.40.55 AM,8914154,DMXJ,Sirus P,7,0,0,0,0,0,0,0,05/12 - 18.00,5.3,Cardiff,211843000,5,-128,1,0,-5.365407,36.14615,1860,219,07-MAY-07 11.40.55 AM,8914154,DMXJ,Sirus P,7,0,0,0,0,0,0,0,05/12 - 18.00,5.3,Cardiff
351339000,0,-128,11.6,0,-5.395078,36.009062,254,254,07-MAY-07 11.39.09 AM,9238571,H3XM,Cape Orchid,7,289,45,0,0,0,0,0,05/11 - 19.00,17.6,Rotterdam,351339000,0,-128,116,0,-5.395078,36.009062,2540,254,07-MAY-07 11.39.09 AM,9238571,H3XM,Cape Orchid,7,289,45,0,0,0,0,0,05/11 - 19.00,17.6,Rotterdam
305011000,0,-128,10.4,0,-6.590534,36.068783,283,288,07-MAY-07 11.42.21 AM,9356854,V2CI5,Bondenau,7,90,12,0,0,0,0,0,05/12 - 11.00,5.6,Rotterdam,305011000,0,-128,104,0,-6.590534,36.068783,2830,288,07-MAY-07 11.42.21 AM,9356854,V2CI5,Bondenau,7,90,12,0,0,0,0,0,05/12 - 11.00,5.6,Rotterdam
224778000,0,-128,0,0,-5.441514,36.128065,264,275,07-MAY-07 11.41.45 AM,9043952,EAQM,Patricia Olivia,4,74,26,0,0,0,0,0,00/00 - 00.00,3.5,Algeciras-ceuta,224778000,0,-128,0,0,-5.441514,36.128065,2640,275,07-MAY-07 11.41.45 AM,9043952,EAQM,Patricia Olivia,4,74,26,0,0,0,0,0,00/00 - 00.00,3.5,Algeciras-ceuta
372697000,1,-128,0.1,0,-5.387054,36.168244,26,159,07-MAY-07 11.41.05 AM,9344320,3EKE4,M/t Narcea,8,100,15,0,0,0,0,0,05/07 - 04.00,5.9,Algeciras,372697000,1,-128,1,0,-5.387054,36.168244,260,159,07-MAY-07 11.41.05 AM,9344320,3EKE4,M/t Narcea,8,100,15,0,0,0,0,0,05/07 - 04.00,5.9,Algeciras
477991300,0,-128,11.1,0,-6.634993,35.778695,242,241,07-MAY-07 11.38.32 AM,8109979,VRAV6,Hebei Pioneer,7,270,43,0,0,0,0,0,05/19 - 23.40,10,Brazil,477991300,0,-128,111,0,-6.634993,35.778695,2420,241,07-MAY-07 11.38.32 AM,8109979,VRAV6,Hebei Pioneer,7,270,43,0,0,0,0,0,05/19 - 23.40,10,Brazil
246443000,0,-128,11.6,0,-6.677931,36.002897,104,107,07-MAY-07 11.41.59 AM,9195834,PDAP,Transitorius,7,95,13,0,0,0,0,0,05/09 - 11.00,6.4,Castellon,246443000,0,-128,116,0,-6.677931,36.002897,1040,107,07-MAY-07 11.41.59 AM,9195834,PDAP,Transitorius,7,95,13,0,0,0,0,0,05/09 - 11.00,6.4,Castellon
304234000,5,-128,0.1,0,-5.321502,35.898463,180,271,07-MAY-07 11.39.15 AM,9235505,V2PR7,River Aln,7,88,14,0,0,0,0,0,05/07 - 22.00,6.5,Motril,304234000,5,-128,1,0,-5.321502,35.898463,1800,271,07-MAY-07 11.39.15 AM,9235505,V2PR7,River Aln,7,88,14,0,0,0,0,0,05/07 - 22.00,6.5,Motril
636091180,1,-128,0.2,0,-5.4111,36.158256,53,157,07-MAY-07 11.33.56 AM,9082374,A8KI3,Northern Delight,7,174,26,0,0,0,0,0,05/07 - 15.00,6.6,Algeciras,636091180,1,-128,2,0,-5.4111,36.158256,530,157,07-MAY-07 11.33.56 AM,9082374,A8KI3,Northern Delight,7,174,26,0,0,0,0,0,05/07 - 15.00,6.6,Algeciras
636012379,0,-128,16.5,0,-6.611062,35.906038,257,258,07-MAY-07 11.41.46 AM,9295581,A8FD4,Hassi Messaoud 2,8,205,33,0,0,0,0,0,05/18 - 19.00,11.1,Us Gulf,636012379,0,-128,165,0,-6.611062,35.906038,2570,258,07-MAY-07 11.41.46 AM,9295581,A8FD4,Hassi Messaoud 2,8,205,33,0,0,0,0,0,05/18 - 19.00,11.1,Us Gulf
242043000,0,-128,0.1,0,-5.80063,35.786687,159,53,07-MAY-07 11.41.40 AM,8412819,CNBT,C.f Marrakech,6,126,21,0,0,0,0,0,05/07 - 09.00,5.2,Tanger,242043000,0,-128,1,0,-5.80063,35.786687,1590,53,07-MAY-07 11.41.40 AM,8412819,CNBT,C.f Marrakech,6,126,21,0,0,0,0,0,05/07 - 09.00,5.2,Tanger
314220000,0,-128,10.6,0,-4.905264,36.032947,81,89,07-MAY-07 11.41.34 AM,9005742,8PTC,Wilson Dvina,7,87,12,0,0,0,0,0,05/10 - 06.00,5.2,Skikda,314220000,0,-128,106,0,-4.905264,36.032947,810,89,07-MAY-07 11.41.34 AM,9005742,8PTC,Wilson Dvina,7,87,12,0,0,0,0,0,05/10 - 06.00,5.2,Skikda
265513990,8,-128,0.1,0,-4.415588,36.714003,175,161,07-MAY-07 11.41.44 AM,1000655,SHUT,Amorina,36,0,0,0,0,0,0,0,01/10 - 21.00,4.5,Malaga,265513990,8,-128,1,0,-4.415588,36.714003,1750,161,07-MAY-07 11.41.44 AM,1000655,SHUT,Amorina,36,0,0,0,0,0,0,0,01/10 - 21.00,4.5,Malaga
304354000,3,-128,7.7,0,-6.617296,35.994881,104,101,07-MAY-07 11.42.41 AM,7517052,V2EI,Salus,52,30,8,0,0,0,0,0,05/22 - 14.00,4.2,Haifa,304354000,3,-128,77,0,-6.617296,35.994881,1040,101,07-MAY-07 11.42.41 AM,7517052,V2EI,Salus,52,30,8,0,0,0,0,0,05/22 - 14.00,4.2,Haifa
39568615,0,-128,0,0,-6.284403,36.532373,1,127,07-MAY-07 11.42.26 AM,0,XYG\SG\,P*].2gzwamyr\3h3.gh,0,0,0,0,0,0,0,0,00/00 - 00.00,0,,39568615,0,-128,0,0,-6.284403,36.532373,10,127,07-MAY-07 11.42.26 AM,0,XYG\SG\,P*].2gzwamyr\3h3.gh,0,0,0,0,0,0,0,0,00/00 - 00.00,0,
215784000,0,-128,17.5,0,-5.335692,35.979284,82,73,07-MAY-07 11.42.02 AM,8919788,9HAO8,Gascogne,7,123,22,0,0,0,0,0,05/10 - 10.00,6,Marsaxlokk,215784000,0,-128,175,0,-5.335692,35.979284,820,73,07-MAY-07 11.42.02 AM,8919788,9HAO8,Gascogne,7,123,22,0,0,0,0,0,05/10 - 10.00,6,Marsaxlokk
304408000,0,-128,14.4,0,-5.461242,36.000945,254,253,07-MAY-07 11.40.02 AM,9242572,V2OE7,Gracechurch Star,7,133,19,0,0,0,0,0,05/08 - 19.00,7.8,Porto D Leixoes,304408000,0,-128,144,0,-5.461242,36.000945,2540,253,07-MAY-07 11.40.02 AM,9242572,V2OE7,Gracechurch Star,7,133,19,0,0,0,0,0,05/08 - 19.00,7.8,Porto D Leixoes
334980000,5,-128,0.2,0,-5.314546,35.896057,221,271,07-MAY-07 11.41.56 AM,7026871,HQVV2,Khalifeh Livestock,7,81,14,0,0,0,0,0,05/07 - 06.00,5.5,Ceuta-spain,334980000,5,-128,2,0,-5.314546,35.896057,2210,271,07-MAY-07 11.41.56 AM,7026871,HQVV2,Khalifeh Livestock,7,81,14,0,0,0,0,0,05/07 - 06.00,5.5,Ceuta-spain
